09-02 17:55:35:424    encoder1_count:8
09-02 17:55:35:440    encoder1_count:29
09-02 17:55:35:442    encoder1_count:29
09-02 17:55:35:456    encoder1_count:29
09-02 17:55:35:472    encoder1_count:28
09-02 17:55:35:497    encoder1_count:28
09-02 17:55:35:498    encoder1_count:28
09-02 17:55:35:505    encoder1_count:28
09-02 17:55:35:508    encoder1_count:28
09-02 17:55:35:520    encoder1_count:28
09-02 17:55:35:537    encoder1_count:28
09-02 17:55:35:540    encoder1_count:28
09-02 17:55:35:553    encoder1_count:28
09-02 17:55:35:569    encoder1_count:28
09-02 17:55:35:571    encoder1_count:28
09-02 17:55:35:586    encoder1_count:28
09-02 17:55:35:601    encoder1_count:28
09-02 17:55:35:603    encoder1_count:28
09-02 17:55:35:617    encoder1_count:28
09-02 17:55:35:632    encoder1_count:28
09-02 17:55:35:636    encoder1_count:28
09-02 17:55:35:649    encoder1_count:28
09-02 17:55:35:665    encoder1_count:28
09-02 17:55:35:667    encoder1_count:28
09-02 17:55:35:681    encoder1_count:28
09-02 17:55:35:697    encoder1_count:28
09-02 17:55:35:702    encoder1_count:28
09-02 17:55:35:736    encoder1_count:28
09-02 17:55:35:737    encoder1_count:28
09-02 17:55:35:738    encoder1_count:28
09-02 17:55:35:745    encoder1_count:28
09-02 17:55:35:761    encoder1_count:28
09-02 17:55:35:763    encoder1_count:28
09-02 17:55:35:777    encoder1_count:28
09-02 17:55:35:793    encoder1_count:28
09-02 17:55:35:795    encoder1_count:28
09-02 17:55:35:809    encoder1_count:28
09-02 17:55:35:825    encoder1_count:28
09-02 17:55:35:827    encoder1_count:28
09-02 17:55:35:842    encoder1_count:28
09-02 17:55:35:857    encoder1_count:28
09-02 17:55:35:859    encoder1_count:28
09-02 17:55:35:873    encoder1_count:28
09-02 17:55:35:889    encoder1_count:28
09-02 17:55:35:891    encoder1_count:28
09-02 17:55:35:905    encoder1_count:28
09-02 17:55:35:922    encoder1_count:28
09-02 17:55:35:923    encoder1_count:28
09-02 17:55:35:937    encoder1_count:28
09-02 17:55:35:961    encoder1_count:28
09-02 17:55:35:961    encoder1_count:28
09-02 17:55:35:970    encoder1_count:28
09-02 17:55:35:985    encoder1_count:28
09-02 17:55:35:987    encoder1_count:28
09-02 17:55:36:002    encoder1_count:28
09-02 17:55:36:018    encoder1_count:28
09-02 17:55:36:020    encoder1_count:28
09-02 17:55:36:034    encoder1_count:28
09-02 17:55:36:049    encoder1_count:28
09-02 17:55:36:052    encoder1_count:28
09-02 17:55:36:066    encoder1_count:28
09-02 17:55:36:081    encoder1_count:28
09-02 17:55:36:084    encoder1_count:28
09-02 17:55:36:097    encoder1_count:28
09-02 17:55:36:114    encoder1_count:28
09-02 17:55:36:116    encoder1_count:28
09-02 17:55:36:130    encoder1_count:28
09-02 17:55:36:146    encoder1_count:28
09-02 17:55:36:148    encoder1_count:28
09-02 17:55:36:162    encoder1_count:28
09-02 17:55:36:178    encoder1_count:28
09-02 17:55:36:196    encoder1_count:28
09-02 17:55:36:196    encoder1_count:28
09-02 17:55:36:209    encoder1_count:28
09-02 17:55:36:212    encoder1_count:28
09-02 17:55:36:225    encoder1_count:28
09-02 17:55:36:242    encoder1_count:28
09-02 17:55:36:244    encoder1_count:28
09-02 17:55:36:258    encoder1_count:28
09-02 17:55:36:274    encoder1_count:28
09-02 17:55:36:275    encoder1_count:28
09-02 17:55:36:289    encoder1_count:28
09-02 17:55:36:306    encoder1_count:29
09-02 17:55:36:308    encoder1_count:29
09-02 17:55:36:322    encoder1_count:28
09-02 17:55:36:338    encoder1_count:28
09-02 17:55:36:340    encoder1_count:28
09-02 17:55:36:354    encoder1_count:28
09-02 17:55:36:371    encoder1_count:28
09-02 17:55:36:372    encoder1_count:29
09-02 17:55:36:386    encoder1_count:28
09-02 17:55:36:402    encoder1_count:28
09-02 17:55:36:404    encoder1_count:28
09-02 17:55:36:440    encoder1_count:27
09-02 17:55:36:440    encoder1_count:27
09-02 17:55:36:440    encoder1_count:27
09-02 17:55:36:450    encoder1_count:27
09-02 17:55:36:466    encoder1_count:27
09-02 17:55:36:469    encoder1_count:27
09-02 17:55:36:482    encoder1_count:27
09-02 17:55:36:498    encoder1_count:27
09-02 17:55:36:500    encoder1_count:27
09-02 17:55:36:514    encoder1_count:27
09-02 17:55:36:530    encoder1_count:27
09-02 17:55:36:532    encoder1_count:27
09-02 17:55:36:546    encoder1_count:27
09-02 17:55:36:562    encoder1_count:27
09-02 17:55:36:564    encoder1_count:27
09-02 17:55:36:578    encoder1_count:27
09-02 17:55:36:594    encoder1_count:27
09-02 17:55:36:596    encoder1_count:27
09-02 17:55:36:610    encoder1_count:27
09-02 17:55:36:626    encoder1_count:27
09-02 17:55:36:628    encoder1_count:27
09-02 17:55:36:642    encoder1_count:27
09-02 17:55:36:668    encoder1_count:27
09-02 17:55:36:668    encoder1_count:27
09-02 17:55:36:674    encoder1_count:27
09-02 17:55:36:690    encoder1_count:27
09-02 17:55:36:692    encoder1_count:27
09-02 17:55:36:707    encoder1_count:27
09-02 17:55:36:722    encoder1_count:27
09-02 17:55:36:724    encoder1_count:27
09-02 17:55:36:738    encoder1_count:27
09-02 17:55:36:754    encoder1_count:27
09-02 17:55:36:756    encoder1_count:27
09-02 17:55:36:770    encoder1_count:27
09-02 17:55:36:786    encoder1_count:27
09-02 17:55:36:789    encoder1_count:27
09-02 17:55:36:802    encoder1_count:27
09-02 17:55:36:818    encoder1_count:27
09-02 17:55:36:820    encoder1_count:27
09-02 17:55:36:834    encoder1_count:27
09-02 17:55:36:851    encoder1_count:27
09-02 17:55:36:852    encoder1_count:27
09-02 17:55:36:866    encoder1_count:27
09-02 17:55:36:882    encoder1_count:27
09-02 17:55:36:903    encoder1_count:27
09-02 17:55:36:903    encoder1_count:27
09-02 17:55:36:915    encoder1_count:27
09-02 17:55:36:917    encoder1_count:27
09-02 17:55:36:931    encoder1_count:27
09-02 17:55:36:946    encoder1_count:27
09-02 17:55:36:949    encoder1_count:27
09-02 17:55:36:963    encoder1_count:27
09-02 17:55:36:978    encoder1_count:27
09-02 17:55:36:980    encoder1_count:27
09-02 17:55:36:995    encoder1_count:27
09-02 17:55:37:011    encoder1_count:27
09-02 17:55:37:013    encoder1_count:27
09-02 17:55:37:027    encoder1_count:27
09-02 17:55:37:043    encoder1_count:27
09-02 17:55:37:045    encoder1_count:27
09-02 17:55:37:059    encoder1_count:27
09-02 17:55:37:075    encoder1_count:27
